gpu_name,hourly_price,vram_gb,max,ram_gb,vcpu,availability
H100 SXM,2.99,80,8,125,8,high
RTX PRO 6000,1.99,96,8,140,16,high
H200 SXM,4.39,141,6,188,12,medium
B200,5.89,180,3,251,24,low
RTX 4000 Ada,0.28,20,4,50,9,low
RTX 4090,0.69,24,1,41,16,low
RTX PRO 4000,0.57,24,4,31,12,medium
RTX 5090,0.99,32,8,60,15,high
RTX PRO 4500,0.74,32,6,62,8,high
L40S,0.99,48,8,110,16,high
H100 PCIe,2.89,80,6,176,18,low
H100 NVL,3.19,94,8,141,16,low
RTX PRO 6000 WK,1.89,96,1,125,32,low
H200 NVL,3.79,143,8,251,24,unavailable
B300,7.39,288,4,251,24,low
RTX 2000 Ada,0.24,16,5,31,6,low
RTX A4000,0.25,16,3,62,16,low
RTX A4500,0.25,20,1,62,12,low
RTX 3090,0.5,24,3,100,6,low
L4,0.99,48,8,110,16,high
RTX A5000,0.27,24,6,50,9,low
A40,0.25,16,3,62,16,low
L40,0.99,48,8,110,16,high
RTX 6000 Ada,0.84,48,4,62,16,low
RTX A6000,0.53,48,10,50,9,medium
A100 PCIe,1.39,80,1,117,31,low
A100 SXM,1.49,80,8,117,16,high
MI300X,2.39,192,8,,,unavailable
